year,category,nominee,workers,winner
2011,Best Rap Album,Recovery,Eminem,True
2011,Best Rap Album,Thank Me Later.,Drake,False
2011,Best Rap Album,How I Got Over.,The Roots,False
2011,Best Rap Performance by a Duo or Group,On To the Next One.,"Jay-Z, Swizz Beatz",True
2011,Best Rap Performance by a Duo or Group,Lose My Mind.,"Jeezy, Plies",False
2011,Best Rap Performance by a Duo or Group,Fancy.,"T.I., Drake, Swizz Beatz",False
2011,Best Rap Solo Performance,Not Afraid,Eminem,True
2011,Best Rap Solo Performance,Power.,Kanye West,False
2011,Best Rap Solo Performance,I'm Back.,T.I.,False
2011,Best Rap Song,Empire State Of Mind,"Jay-Z (songwriter/artist), Angela Hunte (songwriter), Alicia Keys (songwriter/artist), Janet Sewell (songwriter), Alexander Shuckburgh (songwriter)",True
2011,Best Rap/Sung Collaboration,Empire State of Mind.,"Jay-Z, Alicia Keys",True
2011,Best Rap/Sung Collaboration,Deuces.,"Chris Brown, Kevin McCall, Tyga",False
2011,Best Rap/Sung Collaboration,Love the Way You Lie.,"Eminem, Rihanna",False
2011,Best Recording Package,Brothers,"The Black Keys (artist), Michael Carney (art director)",True
2011,Best Reggae Album,Before The Dawn,"Jermaine Reid (engineer/mixer), Buju Banton (producer), Austin Green (engineer/mixer), Linford Marshall (engineer/mixer)",True
2011,"Best Remixed Recording, Non-Classical","Revolver (David Guetta's One Love Club Remix), performed by Madonna","David Guetta, Afrojack",True
2011,Best Rock Album,The Resistance,"Mark Stent (engineer/mixer), Adrian Bushby (engineer/mixer), Muse (artist/producer)",True
2011,Best Rock Instrumental Performance,Hammerhead,Jeff Beck (artist),True
2011,Best Rock Performance by a Duo or Group with Vocals,Tighten Up,The Black Keys (artist),True
2011,Best Rock Song,Angry World.,Neil Young (Songwriter),True
2011,Best Rock Song,Radioactive.,"Kings of Leon (Songwriters), Caleb Followill (Songwriter), Jared Followill (Songwriter), Matthew Followill (Songwriter), Nathan Followill (Songwriter)",False
2011,Best Rock Song,Little Lion Man.,"Mumford & Sons (Songwriters), Ted Dwane (Songwriter), Ben Lovett (Songwriter), 'Country' Winston Marshall (Songwriter), Marcus Mumford (Songwriter)",False
2011,Best Rock Vocal Performance by a Duo or Group,Tighten Up.,The Black Keys,True
2011,Best Rock Vocal Performance by a Duo or Group,Radioactive.,Kings of Leon,False
2011,Best Rock Vocal Performance by a Duo or Group,Resistance.,Muse,False
2011,Best Rock or Rap Gospel Album,Hello Hurricane,"Craig Zarkos (engineer/mixer), Shane Wilson (engineer/mixer), Darrell Thorp (engineer/mixer), Switchfoot (artist/producer/engineer/mixer), Mike Elizondo (producer), Adam Hawkins (engineer/mixer), Ryan Peterson (engineer/mixer), Alan Sanderson (engineer/mixer)",True
2011,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Toy Story 3,Randy Newman,True
2011,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Avatar,James Horner,False
2011,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Sherlock Holmes,Hans Zimmer,False
2011,Best Short Form Music Video,Lady Gaga: Bad Romance,"Lady Gaga, Francis Lawrence (video director), Heather Heller (video producer)",True
2011,Best Short Form Music Video,Eminem Featuring Rihanna: Love the Way You Lie,"Eminem, Rihanna, Joseph Khan (video director), Mary Ann Tanedo (video producer)",False
2011,Best Small Ensemble Performance,Dinastia Borja,"La Capella Reial de Catalunya (ensemble), Jordi Savall (conductor), Hesperion XXI (ensemble)",True
2011,Best Solo Rock Vocal Performance,Helter Skelter.,Paul McCartney,True
2011,Best Solo Rock Vocal Performance,Crossroads.,John Mayer,False
2011,Best Solo Rock Vocal Performance,Silver Rider.,"Robert Plant, Band of Joy",False
2011,"Best Song Written for Motion Picture, Television or Other Visual Media",The Weary Kind.,Crazy Heart,True
2011,"Best Song Written for Motion Picture, Television or Other Visual Media",Down in New Orleans.,The Princess and the Frog,False
2011,"Best Song Written for Motion Picture, Television or Other Visual Media",Kiss Like Your Kiss.,True Blood,False
2011,"Best Southern, Country, or Bluegrass Gospel Album",The Reason,"Diamond Rio (artist/producer), Michael D. Clute (engineer/mixer/producer)",True
2011,"Best Spoken Word Album (includes poetry, audio books & story telling)",The Daily Show With Jon Stewart Presents Earth (The Audiobook),"Tim Lester (engineer/mixer), Charles de Montebello (engineer/mixer), John McElroy (producer), Josh Lieb (producer), David Javerbaum (producer), Steve Bodow (producer), Rory Albanese (producer), Sigourney Weaver (artist), John Oliver (artist), Jason Jones (artist), Jon Stewart (artist), Samantha Bee (artist), Wyatt Cenac (artist/producer)",True
2011,Best Spoken Word Album for Children,"Julie Andrews' Collection Of Poems, Songs, And Lullabies","Tommy Harron (engineer/mixer), Cynthia Daniels (engineer/mixer), John Colucci (engineer/mixer), Michele McGonigle (producer), Julie Andrews (artist), Emma Walton Hamilton (artist)",True
2011,Best Surround Sound Album,Britten's Orchestra,"Keith O. Johnson (surround mix engineer/surround mastering engineer), David Frost (surround producer), Michael Stern (artist), Kansas City Symphony (artist)",True
2011,Best Tejano Album,Recuerdos,Little Joe & La Familia (artist),True
2011,Best Traditional Blues Album,Joined At The Hip,"Blaise Barton (engineer/mixer), Pinetop Perkins (artist), Willie 'Big Eyes' Smith (artist), Michael Freeman (producer/engineer/mixer)",True
2011,Best Traditional Folk Album,Genuine Negro Jig,"Vance Powell (artist), Joe Henry (producer), Ryan Freeland (engineer/mixer)",True
2011,Best Traditional Gospel Album,Downtown Church,"Patty Griffin (artist), Buddy Miller (producer/engineer/mixer), Mike Poole (engineer/mixer)",True
2011,Best Traditional Pop Vocal Album,Crazy Love.,Michael Bublé,True
2011,Best Traditional Pop Vocal Album,The Greatest Love Songs of All Time.,Barry Manilow,False
2011,Best Traditional Pop Vocal Album,Fly Me To The Moon... The Great American Songbook Volume V.,Rod Stewart,False
2011,Best Traditional R&B Vocal Performance,Hang On In There.,"John Legend, The Roots",True
2011,Best Traditional R&B Vocal Performance,You're So Amazing.,Calvin Richardson,False
2011,Best Traditional R&B Vocal Performance,In Between.,Ryan Shaw,False
2011,Best Traditional World Music Album,Ali And Toumani,"Jerry Boys (engineer/mixer), Nick Gold (producer), Ali Farka Touré (artist), Toumani Diabaté (artist)",True
2011,Best Tropical Latin Album,Viva La Tradición,"Spanish Harlem Orchestra (artist), Dave Kowalski (engineer/mixer)",True
2011,Best Urban/Alternative Performance,Fuck You.,CeeLo Green,True
2011,Best Urban/Alternative Performance,Orion.,Carolyn Malachi,False
2011,Best Urban/Alternative Performance,Tightrope.,"Janelle Monáe, Big Boi",False
2011,Best Zydeco or Cajun Music Album,Zydeco Junkie,"Chubby Carrier And The Bayou Swamp Band (artist), Ivan Klisanin (producer/engineer/mixer)",True
2011,Lifetime Achievement Award,Dolly Parton,,True
2011,Producer of the Year (Non-Classical),Danger Mouse,,True
2011,Producer of the Year (Non-Classical),"Philip Lawrence, Ari Levine, Bruno Mars",,False
2011,Producer of the Year (Non-Classical),Rob Cavallo,,False
2011,"Producer of the Year, Classical",David Frost (producer),,True
2011,"Producer of the Year, Non-Classical",Danger Mouse (producer),,True
2011,Record of the Year,Need You Now.,"Lady Antebellum (Artist), Clarke Schleicher (Engineer/Mixer), Paul Worley (Producer)",True
2011,Record of the Year,Fuck You.,"CeeLo Green (Artist), Bruno Mars (Producer/Engineer/Mixer), Philip Lawrence (Producer/Engineer/Mixer), Ari Levine (Producer/Engineer/Mixer)",False
2011,Record of the Year,Empire State of Mind (With Producers Jnay and Shux and Engineer/Mixer Ann Mincieli).,"Jay-Z (Artist), Alicia Keys (Artist), Angela Hunte (Producer), Duro (Engineer/Mixer), Gimel Keaton (Engineer/Mixer)",False
2011,Song of the Year,Need You Now.,"Hillary Scott (Songwriter), Charles Kelley (Songwriter), Dave Haywood (Songwriter), Josh Kear",True
2011,Song of the Year,Fuck You.,"CeeLo Green (Songwriter), Philip Lawrence (Songwriter), Bruno Mars (Songwriter)",False
2011,Song of the Year,The House That Built Me.,"Tom Douglas (Songwriter), Allen Shamblin (Songwriter)",False
2011,Best Spoken Word Album,American on Purpose,Craig Ferguson,False
2011,Best Spoken Word Album,The Bedwetter,Sarah Silverman,False
2012,Album of the Year,21.,"Jim Abbiss (Producer) (Engineer/Mixer), Adele (Producer), Paul Epworth (Producer), Rick Rubin (Producer), Fraser T. Smith (Producer) (Engineer/Mixer), Ryan Tedder (Producer) (Engineer/Mixer), Dan Wilson (Producer), Philip G. Allen (Engineer/Mixer), Ian Dowling (Engineer/Mixer), Tom Elmhirst (Engineer/Mixer), Greg Fidelman (Engineer/Mixer), Dan Parry (Engineer/Mixer), Steven Price (Engineer/Mixer), Mark Rankin (Engineer/Mixer), Andrew Scheps (Engineer/Mixer), Tom Coyne (Mastering Engineer)",True
2012,Album of the Year,Wasting Light (Also featuring Joe LaPorta: Mastering Engineer).,"Foo Fighters, Butch Vig (Producer), James Brown (Engineer/Mixer), Alan Moulder (Engineer/Mixer), Emily Lazar (Mastering Engineer)",False
2012,Best Album Notes,"Hear Me Howling!: Blues, Ballads & Beyond As Recorded By The San Francisco Bay By Chris Strachwitz In The 1960s (Various Artists)",Adam Machado (album notes writer),True
2012,Best Alternative Music Album,"Bon Iver, Bon Iver.",Bon Iver,True
2012,Best Alternative Music Album,Torches.,Foster the People,False
2012,Best Alternative Music Album,The King of Limbs.,Radiohead,False
2012,Best Americana Album,Ramble At The Ryman,"Justin Guip (engineer/mixer), Michael Davis (engineer/mixer), Danny Petraitis (producer), Jed Hilly (producer), Larry Campbell (producer), Levon Helm (artist)",True
2012,Best Banda or Norteño Album,Los Tigres Del Norte And Friends,"Gustavo Borner (producer/engineer/mixer), Nick Baxter (engineer/mixer), Juan Pablo Fallucca (engineer/mixer), Justin Moshkevich (engineer/mixer), Los Tigres del Norte (producer/artist)",True
2012,Best Bluegrass Album,Paper Airplane,"Alison Krauss (producer), Neal Cappellino (engineer/mixer), Mike Shipley (engineer/mixer)",True
2012,Best Blues Album,Revelator,"Tedeschi Trucks Band (artist), Jim Scott (producer/engineer/mixer), Bobby Tis (engineer/mixer)",True
2012,Best Children's Album,All About Bullies... Big And Small (Various Artists),,True
2012,Best Choral Performance,Light & Gold,"The Eric Whitacre Singers (artist), Pavão Quartet (artist), The King's Singers (artist), Andrew Mellor (engineer/mixer), Eric Whitacre (conductor), Raphaël Mouterde (producer)",True
2012,Best Classical Instrumental Solo,Schwantner: Concerto For Percussion & Orchestra,"Giancarlo Guerrero (conductor), Christopher Lamb (artist)",True
2012,Best Classical Vocal Solo,Diva Divo,"Orchestre de l'Opéra de Lyon (artist), Kazushi Ono (artist), Joyce DiDonato (soloist), Daniel Zalay (producer)",True
2012,Best Comedy Album,Hilarious.,Louis C.K.,True
2012,Best Comedy Album,Kathy Griffin: 50 & Not Pregnant.,Kathy Griffin,False
2012,Best Comedy Album,Turtleneck & Chain.,The Lonely Island,False
2012,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Boardwalk Empire,"Stewart Lerman (Producer), Randall Poster (Producer), Kevin Weaver (Producer)",True
2012,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Glee,"Adam Anders (Producer), Ryan Murphy (Producer), Peer Astrom (Producer)",False
2012,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",True Blood,Gary Calamar (Producer),False
2012,Best Compilation Soundtrack for Visual Media,Boardwalk Empire: Volume 1 (Various Artists),"Kevin Weaver (producer), Randall Poster (producer), Stewart Lerman (producer/engineer/mixer)",True
2012,Best Contemporary Christian Music Album,And If Our God Is For Us...,"F. Reid Shippen (engineer/mixer), Jim Deneen (engineer/mixer), Chris Tomlin (artist), Ed Cash (engineer/mixer/producer)",True
2012,Best Contemporary Christian Music Song,Blessings,Laura Story (songwriter),True
2012,Best Contemporary Classical Composition,"Aldridge, Robert: Elmer Gantry","Robert Eldridge (composer), Herschel Garfein (composer)",True
2012,Best Country Album,Own the Night.,Lady Antebellum,True
2012,Best Country Album,Chief.,Eric Church,False
2012,Best Country Album,My Kinda Party.,Jason Aldean,False
2012,Best Country Duo/Group Performance,Barton Hollow.,The Civil Wars,True
2012,Best Country Duo/Group Performance,You and Tequila.,"Kenny Chesney, Grace Potter",False
2012,Best Country Solo Performance,Mean.,Taylor Swift,True
2012,Best Country Solo Performance,Mama's Song.,Carrie Underwood,False
2012,Best Country Solo Performance,I'm Gonna Love You Through It.,Martina McBride,False
2012,Best Country Song,Mean.,Taylor Swift (Songwriter),True
2012,Best Dance Recording,Scary Monsters & Nice Sprites.,Skrillex (Producer/Mixer),True
2012,Best Dance Recording,Sunshine.,"Avicii (Producer/Mixer), David Guetta (Producer), Giorgio Tuinfort (Producer)",False
2012,Best Dance Recording,Call Your Girlfriend (With producer Billboard).,"Klas Ahlund (Producer), Niklas Flyckt (Mixer)",False
2012,Best Dance/Electronica Album,Scary Monsters and Nice Sprites.,Skrillex,True
2012,Best Dance/Electronica Album,Nothing But the Beat.,David Guetta,False
2012,Best Dance/Electronica Album,Body Talk Pt. 3.,Robyn Carlsson,False
2012,"Best Engineered Album, Classical",Aldridge: Elmer Gantry,"Heather Buck (artist), Frank Kelley (artist), Vale Rideout (artist), Patricia Risley (artist), Byeong-Joon Hwang (engineer), John Newton (engineer), Jesse Lewis (mastering engineer), William Boggs (artist), Keith Phares (artist)",True
2012,"Best Engineered Album, Non-Classical",Paper Airplane,"Brad Blackwood (mastering engineer), Mike Shipley (engineer), Neal Cappellino (engineer)",True
2012,Best Folk Album,Barton Hollow.,The Civil Wars,True
2012,Best Folk Album,Helplessness Blues.,Fleet Foxes,False
2012,Best Folk Album,I'll Never Get Out of This World Alive.,Steve Earle,False
2012,Best Gospel Album,Hello Fear,"Tre Nagella (engineer/mixer), John Jaszcz (engineer/mixer), Jeffrey Chestek (engineer/mixer), Shaun Martin (producer), Kirk Franklin (producer/artist)",True
2012,Best Gospel Song,Hello Fear,Kirk Franklin (songwriter),True
2012,Best Gospel/Contemporary Christian Music Performance,Jesus,Leandria Johnson (artist),True
2012,Best Hard Rock/Metal Performance,White Limo.,Foo Fighters,True
2012,Best Hard Rock/Metal Performance,Curl of the Burl.,Mastodon,False
2012,Best Hard Rock/Metal Performance,Blood in My Eyes.,Sum 41,False
2012,Best Historical Album,Band On The Run (Paul McCartney Archive Collection - Deluxe Edition),"Paul McCartney (compilation producer), Sam Okell (mastering engineer), Steve Rooke (mastering engineer)",True
2012,Best Improvised Jazz Solo,500 Miles High,Chick Corea (soloist),True
2012,Best Instrumental Arrangement,Rhapsody In Blue,Gordon Goodwin (arranger),True
2012,Best Instrumental Composition,Life In Eleven,"Howard Levy (composer), Bela Fleck (composer)",True
2012,Best Jazz Instrumental Album,Forever,"Brian Vibberts (engineer/mixer), Buck Snow (engineer/mixer), Bernie Kirsch (engineer/mixer), Stanley Clarke (producer/artist), Chick Corea (producer/artist), Lenny White (producer/artist)",True
2012,Best Jazz Vocal Album,The Mosaic Project (Various Artists),"Martin Walters (engineer/mixer), Mike Marciano (engineer/mixer), Terri Lyne Carrington (producer/artist)",True
2012,Best Large Jazz Ensemble Album,The Good Feeling,"Christian McBride Big Band (artist), Joe Ferla (engineer/mixer)",True
2012,"Best Latin Pop, Rock, or Urban Album",Drama Y Luz,"Fernando Villín (engineer/mixer), Maná (artist), Benny Faccone (engineer/mixer), Arturo Perales (engineer/mixer), Thom Russo (engineer/mixer), Fabian Serrano (engineer/mixer)",True
2012,Best Long Form Music Video,Foo Fighters: Back and Forth,"Foo Fighters (Artist), Nigel Sinclair (Producer), James Moll (Director Producer)",True
2012,Best Long Form Music Video,Beyoncé's I Am... World Tour,"Beyoncé (Director, Producer, Artist), Camille Yorrick (Producer), Frank Gatson Jr. (Director), Ed Burke (Director)",False
2012,Best Musical Theater Album,The Book of Mormon: Original Broadway Cast Recording.,"Josh Gad (principal soloist), Andrew Rannells (principal soloist), Anne Garefino (producer), Robert Lopez (producer/composer/lyricist), Stephen Oremus (producer), Trey Parker (producer/composer/lyricist), Scott Rudin (producer), Matt Stone (producer/composer/lyricist)",True
